song_id,artist,lyric_text,label
1,usher,"er baby... okay, yeah man
Right... (turn the lights off)

There goes my baby
(Ooh, girl, look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Ooh, girl, look at you

Bet you ain't know that I be checking you out when you be putting your heels on
I swear, your body's so perfect, baby
How you work it, baby yeah, whoo!
I love the way that you be poking it out, girl
Give me something to feel on
So please believe we gone be twerking it out
By the end of the night, baby

I've been waiting all day to wrap my hands
Around your waist and kiss your face
Wouldn't trade this feeling for nothing
(Not even for a minute)
And I'll sit here long as it takes
To get you all alone
But as soon as you come walking my way
You gon' hear me say

There goes my baby
(Ooh, girl, look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Ooh, girl, look at you

I get the chills whenever I see your face and you in the place, girl
Feel like I'm in a movie, baby
I'm like, ""Oowee, baby""
Like waterfalls, your hair falls down to your waist
Can I get a taste, girl?
No need to creep, 'cause baby, I ain't ashamed
Of calling your name, girl

I've been waiting all day to wrap my hands
Around your waist and kiss your face
Wouldn't trade this feeling for nothing
Not even for a minute
And I'll sit here long as it takes
To get you all alone
But as soon as you come walking my way
You gon' hear me say

There goes my baby
(Ooh, girl, look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Ooh, girl, look at you

And girl, I feel like it's our first time every time we get together
Baby, loving you feels better than
Everything, anything
Put on my heart, you don't need a ring
And I promise
Our time away won't change my love

There goes my baby
(Ooh, girl, look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Ooh, girl, look at you
There goes my baby
(Ooh, girl, look at you)
You don't know how good it feels to call you my girl
There goes my baby
Loving everything you do
Ooh, girl, look at you",relaxed
2,daville,"Hidden underneath the floor
In the attic of my dreams, there's somebody I adore
I could smile, I could lie
Say, I never think about you at all, most of the time

Maybe it's the way the clouds are painted a perfect shade of yellow all across the sky
Maybe it's the way the times are changing, and I'm stuck in the middle, frozen in a fire
But, baby, you're on my mind

Doors will open, doors will close
In the basement of my dreams, there's somebody I ignore, mm
Yeah, I'm a fool, don't be surprised
I don't ever think about you at all
But right now, I just need you to know

Maybe it's the way the clouds are painted a perfect shade of yellow all across the sky
Maybe it's the way the times are changing, and I'm stuck in the middle, frozen in a fire
But, baby, you're on my mind

You showed up
Crystal and casually
Our love was what it had to be
You showed up
Like you're still attached to me
Our love was what it had to be (had to be, had to be)

Maybe it's the way the clouds are painted a perfect shade of yellow all across the sky
Maybe it's the way the times are changing, and I'm stuck in the middle, frozen in a fire
But, baby, you're on my mind

You're on my mind

Baby, you're on my mind",relaxed
3,rihanna,"I told ya, I told ya
I told ya baby, baby
Uh, uh, I told ya, baby
Uh oh
Uh, uh, I told ya, baby
Uh, uh, I told ya, baby
Uh oh
Uh, uh, I told ya, baby
Uh oh
Uh, uh, I told ya, baby
Uh oh
Uh, uh, I told ya

Got up in the club, posted in the back
Feeling so good, looking so bad
Rocking this skirt, rocking this club
Got my middle finger up, I don't really give a fuck
Rocking these diamonds, I'm rocking this chain
Make sure you get a picture, I'm rocking my fame

To be what you is you gotta be what you are
The only thing I'm missing is a black guitar

I'm a rock star (rock star)
Hey baby, I'm a rock star (rock star)
Hey baby
Big cities (Big cities)
Bright lights (Bright lights)
Sleep all day (All day)
Long nights
Baby, I'm a rock star (rock star)
Hey baby, I'm a rock star (rock star)
Hey baby, it's big cities (Big cities)
Bright lights (Bright lights)
Sleep all day (All day)
Long nights (Long nights)
Baby, I'm a

Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Hey, hey, hey

Six-inch walker, big shit talker
I never play the victim, I'd rather be a stalker
So baby take me in, I'll disobey the law
Make sure you frisk me good
Check my panties and my bra
Wild'n out, a crazy house
With my white jacket on
Won't you come and sign me out?

To be what you is you gotta be what you are
The only thing I'm missing is a black guitar

I'm a rock star (rock star)
Hey baby, I'm a rock star (rock star)
Hey baby
Big cities (Big cities)
Bright lights (Bright lights)
Sleep all day (All day)
Long nights
Baby, I'm a rock star (rock star)
Hey baby, I'm a rock star (rock star)
Hey baby, it's big cities (Big cities)
Bright lights (Bright lights)
Sleep all day (All day)
Long nights (Long nights)
Baby, I'm a

Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Hey, hey, hey

Hey
I'm rocking out tonight
'Cause I can't wait 'til tomorrow
I'ma live my whole life in the night
'Cause I ain't got time to borrow
I'm rocking out tonight
Why wait 'til tomorrow
I'ma live my whole life in the night

I'm a rock star (rock star)
Hey baby, I'm a rock star (rock star)
Hey baby
Big cities (Big cities)
Bright lights (Bright lights)
Sleep all day (All day)
Long nights
Baby, I'm a rock star (rock star)
Hey baby, I'm a rock star (rock star)
Hey baby, it's big cities (Big cities)
Bright lights (Bright lights)
Sleep all day (All day)
Long nights (Long nights)
Baby, I'm a

Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Oh, baby, I'm a
Hey, hey, hey",relaxed
4,j holiday,"This, this is this is the remix J. Holiday the seductive yea Trina ha ha ha ha.

[Verse: Trina]
Now I ain't neva met a man like you before and you ain't neva had
it done by the best I know the way you give it to me baby got me
wanting you more I go so low till you just can't take it no more I'm
sitting pretty looking sexy got my dickies on biting on my lips
kissing on you boy I'm so gone I love the way you breathing up and
down on my neck and the way you touching on me makes my whole body wet.

[J. Holiday:]
Girl change into that victoria secret thang that I like alright ok
tonight your havin me your way perfume spray it there put our love
in the air now put me right next to you finna raise the temp in the
room first rub my back like you do right there un huh right there uh
you touch me like ya care now stop and let me repay you for the
week that you been through working that nine to five and stayin cute
like you do un huh huh.

[Trina:]
Please don't stop yup cause you got me loving it I promise in the
morining baby I'm a jump all over it call me by my goverment boy I
know you lovin it you layin with the badest chick now tell me can you
handle it you certified I'm amazed by the things you do you say
who's is it I replied it belongs to you now what you wanna do no re
ensurence baby yes it's belong to you.

[Chorus:]
Wanna put my fingers through ya hair rap me up in your legs and
love you till your eyes roll back I'm tryna put you to bed ed ed tryna
put you to bed ed ed ed ed ed.

[J. Holiday:]
When I'm staring at you while you sleep cause you got irre-place-ble
beauty got wanna put my face up in yo neck and breathe baby take
you into my senses girl wake up it's time to finish round two round
two matter of fact it's closer to three she like how long I been sleep
shawty kisses turn into the sweetest dream like give it to me I can
feel here tell me my angel this is wonderful thanks for let me bless
ya now come down fly right drift back into heaven like ooo ooo ooo ooo I love it.

[Trina:]
I love the way you set and rub ya hands all through my hair suckin
all on my feets I ain't goin no were I know you love it when I rap my
legs around ya thighs body pushin keep pushin, pushin right into my
eyes french kissin body twistin all night till we tired squese my ass
I'm a hell of a ride.

[Chorus:]
Wanna rub my fingers through ya hair rap me up in your legs and
love you till your eyes roll back tryna put you to bed ed ed tryna put
you to bed ed ed ed ed ed.

[Ja Rule:]
Baby, have you ever had ya tounge slap ya forhead sit with ya so
good you needed that bad damn I just wanna put yo to bed rap me
between ya legs and I'm good like megan fell bad for ya baby ed ed
get under my umbrella or get wet, wet like re re I be be c c and your
winnen when I got ya in my bed ed now trina say a nigga got a big o
how you know if you ain't neva sat on the deal deal now baby on the
real illl I'm cond-ealin for some sexual healing so what the deal is
foggy windows blowin indow I got 5 hoes tryna fuck two with three
mo, of these beautiful- ladies baby trust me your gonna wanna love me.

[Chorus:]
Wanna put my fingers through ya hair (oh)
Rap me up in your legs (up in ya legs)
And love you till your eyes roll back (till your eyes roll back in ya head)
Tryna put you to bed ed ed tryna put you to bed (bed ed ed ed ed)

Wanna put my fingers through your hair rap me up in your legs and
love you till ya eyes roll back tryna put you to bed ed ed tryna put
you to bed ed ed ed ed ed...",relaxed
5,morgan heritage,"Yeah, yeah, yeah... ragga so ragga

You don't ha fi dread to be rasta (don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well
...

Oh, it's a life of a livity
Lived by the fathers of our history
Uphold the anciency and prophecy
Trust in the power of the Trinity, yeah
Got to believe in His Majesty
Oh yes, his lineage an divinity
The first step is serenity
Knowing one self's true royalty, yeah

You don't ha fi dread to be rasta, yeah (don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well
...

Don't be afraid of Jah ever burning fire
Trust in Jah fire and you never get burn
The fire that reigns over heat, air and water
No water can put out Jah fire
Jah fire gonna lift Rasta higher

You don't ha fi dread to be rasta, yeah (don't ha fi dread)
This is not a dreadlocks thing
Divine conception of the heart, well
...",angry
6,whitney houston,"Clap your hands, y'all
It's alright (Turn me up, turn me up, turn me up)
Clap your hands, y'all
It's alright
Clap your hands, y'all
It's alright
Clap your hands, y'all
It's alright

If tomorrow is Judgement Day (Sing mommy)
And I'm standing on the front line
And the Lord ask me what I did with my life
I will say I spent it with you
Clap your hands, y'all
It's alright (It's alright)
Clap your hands, y'all
It's alright

If I wake up in World War 3 (World War 3)
I see destruction and poverty
And I feel like I wanna go home
It's okay if you're comin' with me
Clap your hands, y'all
It's alright (It's alright)
Clap your hands, y'all
It's alright

'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us

'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us

Clap your hands, y'all
It's alright
Clap your hands, y'all
It's alright
Clap your hands, y'all
It's alright

If I lose my fame and fortune
And I'm homeless on the street (On the street, oh Lord)
And I'm sleepin' in Grand Central Station (Ooh, okay)
It's okay if you're sleepin' with me
Clap your hands, y'all
It's alright
Clap your hands, y'all
It's alright

As the years, they pass us by (The years, the years, the years)
We stay young through each other's eyes (Each other's eyes)
And no matter how old we get, oh
It's okay as long as I got you, babe
Clap your hands, y'all
It's alright
Clap your hands, y'all
It's alright

'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us
'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us

If I should die this very day (Very, very day)
Don't cry, 'cause on Earth, we weren't meant to stay
And no matter what people say (Really don't matter)
I'll be waiting for you after Judgement Day

'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us

'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us

'Cause your love is my love
And my love is your love
It would take an eternity to break us
And the chains of Amistad couldn't hold us

Clap your hands, y'all
It's alright
Clap your hands
Clap your hands, y'all
It's alright
Clap your hands, y'all
It's alright
Clap your hands, y'all
It's alright",happy
7,serani,"[Intro:]
Seri, Seri, Seri, Serani!
Everywhere I go they find me
Hypocrites and badminds
Every, every, every, every

Everywhere I Go
They fine me
Hypocrites and badminds
Every every every every

Everywhere I Go they find me
Backstabbers and parasites

[Chorus:]
Some some somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause

[Verse 1:]
Because' u kno it's everywhere
Evil in the atmosphere things catching
Righteous please beware
We dem watchin
Chit chatting it's clear there's so
Many envious out there
By the power in me
And the help of the father,
Serani never fear another
I'm a live up, never give up, choose the ripper

[Chorus:]
Somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because

[Verse 2:]
For me, the fassy dem a plan
Dem ago lose the battle
Cause almighty ah me Dan
Me conscience free cah me never do no wrong
A music me make, write and sing song
Remember I said u can see it in their face
We no the genuine ones from the fakes
Judge dem by the way them embrace
Such disgrace...

[Chorus:]
Some some somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because

[Bridge:]
Everywhere I Go
They fine me
Hypocrites and badminds
Every every every every

Everywhere I Go they find me
Backstabbers and parasites

[Chorus:]
Some some somebody tell me what
They want from me
Me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fighting for a cause a mi them can't pause
Yeah me say ya can't study people
Dem same people a study bare evil
But good ova evil me see say dem feeble
I'm fightin for a cause
Because",angry
8,austra,"Habit alone, when separate I moan
Feeding on bones or anything grown
I command post and nobody shows
In mornings I rest here
In evenings I work here
My debt isn't spent till the rest of me's left
All I adore...

You must be the call
The evil at night
Speaking words of grace
While spellwork delights
Feel my desire, it burns like a fire
Feel my desire, it burns like a fire

I work alone saving my soul
If yesterday hurts, tomorrow is worse
Send me a sign, for my body's aligned
I'm ready to waste all my limbs and my face
My pores are wide open
And bleed for your potion
Spellwork and lies!

You must be the call
The evil at night
Speaking words of grace
While spellwork delights
Feel my desire, it burns like a fire
Feel my desire, it burns like a fire

You must be the call
The evil at night
Speaking words of grace
While spellwork delights
Feel my desire, it burns like a fire
Feel my desire, it burns like a fire",angry
9,coro,"Yeah

I shoulda known you'd be this way
Serves me right to fall in love

You brought me love then you took it back
We had it all and that's a fact
Love is a game that we all play
There's one thing I've got to say

I gave you my heart and I gave you my world
I spent those lonely nights right here in the cold
Every time you touch me, my body starts to quiver
All I wanna do is love you all night long

Can't let you go, my love, it's you that I need
You keep me wanting you, you push my love aside
Can't let you go, my love, it's you that I need
You keep me wanting you, you push my love aside

I can't help but think of how you made me feel
Every time I think about the two of us

Can't realize (can't realize)
Can't seem to buy it (can't seem to buy it)
Now that you're gone (now that you're gone)
Now that you're gone
You might also like
You’re Just Who I Need
Coro
Where Are You Tonight
Coro
Wood
Taylor Swift
Can't let you go, my love, it's you that I need
You keep me wanting you, you push my love aside
Can't let you go, my love, it's you that I need
You keep me wanting you, you push my love aside

Can't let you go, my love
You fit me like a glove
'Cause when you hold me tight
The feeling's oh-so right
Just can't forget those times
When you were mine, all mine
This love I have for you is true
So come back to the one who loves you

Every time you touch me, my body starts to quiver
All I wanna do is love you all night long

I shoulda known that you'd be this way
Serves me right to fall in love
I can't help but think of how you left me feeling
Every time I think about the two of us

Can't realize (can't realize)
Can't seem to buy it (can't seem to buy it)
Now that you're gone (now that you're gone)
Now that you're gone
Can't let you go, my love, it's you that I need
You keep me wanting you, you push my love aside
Can't let you go, my love, it's you that I need
You keep me wanting you, you push my love aside

Can't let you go, my love, it's you that I need
You keep me wanting you, you push my love aside
Can't let you go, my love, it's you that I need
You keep me wanting you, you push my love aside

Can't let you go, let you go
I can't let you go
Can't let you go, let you go
I can't let you go",happy
10,beenie man,"Well, this is like a menance to di society
Big enough fi all di ghetto lady
(All gals)
Rock out and gwaan crazy
(Big tip)
Sing along
(Sung)

Gimmie the girl dem wit the wickedest slam
Di kinda girl wheyknow fi love up she man
Man if yuh have fi get di medal, yuh have fi get a slam
From a real ghetto girl
(Again)

Gimmie the girl dem wit the wickedest slam
Di kinda girl whey know fi love up she man
Man if yuh have fi get di medal, yuh have fi get a slam
From a real ghetto girl
(Boy)

Man, if yuh never get yuh, pedal an wheel
An if yuh nevah have yuh bananna peel
Man if yuh have fi know how good lovin' feel
Yuh affi find a girl whey live a Maxfield

Man, if yuh love your girlfriend to yuh heart
But yuh not get di slam whey yuh want
Only bad things can gwaan if yuh hide
Cuz you got Junglis girl pon de side
(Cos)

A ghetto girl love up di wickedest slam
Di kinda girl whey know fi love up she man
Man if yuh have fi get di medal yuh have fi get a slam
From a real ghetto girl
(Again)

Gimmie the girl dem wit the wickedest slam
Di kinda girl whey know fi love up she man
Man if yuh have fi get di medal yuh have fi get a slam
From a real ghetto girl
(Caw)

Me not gon wife up, no girl if she bow
Gal inna bed an, she nuh know what to do
But me not gon wrinkle and screw
Because me dun have me gal a sea view

Me not gon run to get, no uptown girl
True, she brown and she pretty like pearl
True, me know a mamma man round de world
You could-a find out your girl-a name Earl

Man if yuh have a ghetto girl a look fi proud
Although she might-a look-a",relaxed
